股票代码,股票名称,命中战法汇总,最新价,共振强度
002579,中京电子,MACD抄底 + 三位一体,12.07,2
000048,京基智农,老鸭头,17.69,1
000524,岭南控股,老鸭头,12.54,1
000507,珠海港,老鸭头,5.48,1
000593,德龙汇能,老鸭头,14.68,1
000630,铜陵有色,老鸭头,7.66,1
000758,中色股份,老鸭头,8.03,1
000755,山西高速,老鸭头,5.45,1
000825,太钢不锈,老鸭头,5.15,1
000949,新乡化纤,老鸭头,7.11,1
001338,永顺泰,老鸭头,12.72,1
000789,万年青,老鸭头,5.6,1
002171,楚江新材,老鸭头,12.97,1
002203,海亮股份,老鸭头,13.99,1
002255,海陆重工,三位一体,13.18,1
002278,神开股份,老鸭头,14.11,1
002339,积成电子,三位一体,12.69,1
002366,融发核电,三位一体,8.2,1
002405,四维图新,三位一体,10.78,1
002085,万丰奥威,老鸭头,16.13,1
002465,海格通信,老鸭头,17.19,1
002511,中顺洁柔,老鸭头,8.62,1
002541,鸿路钢构,老鸭头,22.86,1
002540,亚太科技,老鸭头,7.57,1
002559,亚威股份,三位一体,10.47,1
002571,德力股份,三位一体,12.72,1
002585,双星新材,老鸭头,7.4,1
002587,奥拓电子,三位一体,7.01,1
002678,珠江钢琴,老鸭头,5.76,1
002734,利民股份,老鸭头,20.06,1
002749,国光股份,老鸭头,13.87,1
002783,凯龙股份,老鸭头,10.03,1
002973,侨银股份,老鸭头,14.5,1
600084,中信尼雅,老鸭头,7.01,1
600158,中体产业,老鸭头,10.1,1
600172,黄河旋风,三位一体,9.9,1
600236,桂冠电力,三位一体,11.62,1
600281,华阳新材,老鸭头,6.13,1
600338,西藏珠峰,老鸭头,18.0,1
600459,贵研铂业,老鸭头,23.44,1
600468,百利电气,三位一体,8.55,1
600490,鹏欣资源,老鸭头,9.39,1
600558,大西洋,老鸭头,6.32,1
600579,中化装备,老鸭头,9.26,1
600773,西藏城投,三位一体,15.75,1
600884,杉杉股份,老鸭头,14.27,1
600901,江苏金租,老鸭头,6.33,1
600929,雪天盐业,老鸭头,6.35,1
600973,宝胜股份,三位一体,7.64,1
601008,连云港,老鸭头,5.29,1
601061,中信金属,老鸭头,14.69,1
601118,海南橡胶,老鸭头,7.31,1
601339,百隆东方,老鸭头,7.0,1
601611,中国核建,三位一体,16.79,1
603017,中衡设计,老鸭头,12.39,1
603095,越剑智能,老鸭头,20.67,1
603098,森特股份,老鸭头,15.03,1
603110,东方材料,老鸭头,17.21,1
603112,华翔股份,MACD抄底,17.62,1
603162,海通发展,老鸭头,14.86,1
603209,兴通股份,老鸭头,16.1,1
603227,雪峰科技,老鸭头,8.85,1
603399,永杉锂业,老鸭头,11.2,1
603803,瑞斯康达,MACD抄底,10.2,1
603810,丰山集团,老鸭头,17.05,1
603967,中创物流,老鸭头,13.02,1
603969,银龙股份,老鸭头,10.22,1
603977,国泰集团,老鸭头,14.75,1
