code,type,name
002284,箱体回踩,亚太股份
000582,箱体回踩,北部湾港
600711,箱体回踩,盛屯矿业
603803,牛回头(回踩10MA),瑞斯康达
600279,箱体回踩,重庆港
603212,箱体回踩,赛伍技术
002949,箱体回踩,华阳国际
000922,箱体回踩,佳电股份
603187,箱体回踩,海容冷链
601958,箱体回踩,金钼股份
001322,箱体回踩,箭牌家居
002478,箱体回踩,常宝股份
002245,箱体回踩,蔚蓝锂芯
600284,箱体回踩,浦东建设
688509,箱体回踩,正元地信
600550,箱体回踩,保变电气
002278,箱体回踩,神开股份
600877,箱体回踩,电科芯片
002295,箱体回踩,精艺股份
000830,箱体回踩,鲁西化工
002643,箱体回踩,万润股份
600388,箱体回踩,龙净环保
600475,箱体回踩,华光环能
600330,箱体回踩,天通股份
002342,箱体回踩,巨力索具
603890,牛回头(回踩10MA),春秋电子
002879,箱体回踩,长缆科技
601600,箱体回踩,中国铝业
002636,箱体回踩,金安国纪
002098,牛回头(回踩10MA),浔兴股份
603098,箱体回踩,森特股份
600515,箱体回踩,海南机场
000532,箱体回踩,华金资本
002631,箱体回踩,德尔未来
002748,箱体回踩,世龙实业
002346,箱体回踩,柘中股份
002534,箱体回踩,西子洁能
601696,箱体回踩,中银证券
