code,signal,name
603218,上升通道回踩,日月股份
600054,突破回踩,黄山旅游
600769,上升通道回踩,祥龙电业
600667,上升通道回踩,太极实业
002998,长线均线支撑,优彩资源
603598,MACD底背离,引力传媒
600970,长线均线支撑,中材国际
002373,MACD底背离,千方科技
600877,长线均线支撑,电科芯片
600643,突破回踩,爱建集团
600459,长线均线支撑,贵研铂业
600028,长线均线支撑,中国石化
002284,长线均线支撑,亚太股份
002297,长线均线支撑,博云新材
000301,长线均线支撑,东方盛虹
603219,长线均线支撑,富佳股份
600399,长线均线支撑,抚顺特钢
000892,MACD底背离,欢瑞世纪
002278,长线均线支撑,神开股份
603187,长线均线支撑,海容冷链
601398,突破回踩,工商银行
002255,长线均线支撑,海陆重工
000755,长线均线支撑,山西高速
000987,长线均线支撑,越秀资本
002624,长线均线支撑,完美世界
002221,上升通道回踩,东华能源
600961,长线均线支撑,株冶集团
002345,MACD底背离,潮宏基
603977,上升通道回踩,国泰集团
002441,长线均线支撑,众业达
600158,上升通道回踩,中体产业
002772,上升通道回踩,众兴菌业
600039,长线均线支撑,四川路桥
603776,长线均线支撑,永安行
600838,长线均线支撑,上海九百
601528,长线均线支撑,瑞丰银行
601002,长线均线支撑,晋亿实业
601600,长线均线支撑,中国铝业
000159,长线均线支撑,国际实业
601789,上升通道回踩,宁波建工
002575,上升通道回踩,群兴玩具
603311,上升通道回踩,金海高科
000630,长线均线支撑,铜陵有色
000695,长线均线支撑,滨海能源
000524,上升通道回踩,岭南控股
600127,长线均线支撑,金健米业
603335,长线均线支撑,迪生力
600773,上升通道回踩,西藏城投
605377,上升通道回踩,华旺科技
002372,长线均线支撑,伟星新材
002666,长线均线支撑,德联集团
600429,突破回踩,三元股份
601001,上升通道回踩,晋控煤业
603110,长线均线支撑,东方材料
000600,上升通道回踩,建投能源
603990,突破回踩,麦迪科技
603777,上升通道回踩,来伊份
600063,长线均线支撑,皖维高新
600250,长线均线支撑,南京商旅
002918,MACD底背离,蒙娜丽莎
002033,长线均线支撑,丽江股份
600051,长线均线支撑,宁波联合
000060,长线均线支撑,中金岭南
001300,上升通道回踩,三柏硕
