date,code,name,price
2026-01-07,603668,天马科技,16.72
2026-01-07,002520,日发精机,6.26
2026-01-07,600860,京城股份,12.58
2026-01-07,601528,瑞丰银行,5.63
2026-01-07,600246,万通发展,12.56
2026-01-07,002538,司尔特,6.61
2026-01-07,603166,福达股份,15.57
2026-01-07,002612,朗姿股份,19.5
2026-01-07,600302,标准股份,10.38
2026-01-07,000589,贵州轮胎,5.17
2026-01-07,002698,博实股份,16.54
2026-01-07,002293,罗莱生活,9.82
2026-01-07,603269,海鸥股份,12.81
2026-01-07,605055,迎丰股份,9.61
2026-01-07,603766,隆鑫通用,15.89
2026-01-07,603682,锦和商管,6.63
2026-01-07,002763,汇洁股份,7.39
2026-01-07,002012,凯恩股份,6.31
2026-01-07,600319,亚星化学,9.16
2026-01-07,002330,得利斯,5.02
2026-01-07,603681,永冠新材,19.2
2026-01-07,002301,齐心集团,7.82
2026-01-07,603898,好莱客,13.82
2026-01-07,603333,尚纬股份,8.14
2026-01-07,002758,浙农股份,10.03
2026-01-07,002877,智能自控,9.35
