date,code,price,rebound,name
2025-12-29,002246,17.63,10.33%,北化股份
2025-12-29,688219,12.43,10.78%,会通股份
2025-12-29,603901,14.3,8.09%,永创智能
2025-12-29,688009,5.49,5.37%,中国通号
2025-12-29,603070,13.05,6.53%,万控智造
2025-12-29,002908,9.53,6.48%,德生科技
2025-12-29,603980,5.14,5.33%,吉华集团
2025-12-29,603668,16.93,10.51%,天马科技
2025-12-29,002111,10.38,10.31%,威海广泰
2025-12-29,002803,16.4,6.84%,吉宏股份
2025-12-29,000409,11.16,5.78%,云鼎科技
2025-12-29,688571,7.54,8.02%,杭华股份
2025-12-29,603926,16.12,9.81%,铁流股份
2025-12-29,002180,19.81,10.61%,纳思达
2025-12-29,002052,13.3,11.76%,同洲电子
2025-12-29,603158,10.53,11.08%,腾龙股份
2025-12-29,002708,13.24,10.98%,光洋股份
2025-12-29,600658,5.54,6.54%,电子城
2025-12-29,603138,14.31,6.55%,海量数据
2025-12-29,688681,17.51,6.83%,科汇股份
2025-12-29,600019,7.44,6.29%,宝钢股份
2025-12-29,000708,16.07,7.85%,中信特钢
2025-12-29,603279,16.42,13.24%,景津装备
2025-12-29,002715,17.85,5.62%,登云股份
2025-12-29,002601,19.43,11.03%,龙佰集团
2025-12-29,600318,9.08,6.07%,新力金融
2025-12-29,600784,7.04,13.73%,鲁银投资
2025-12-29,600128,11.13,10.42%,苏豪弘业
2025-12-29,002100,7.24,6.78%,天康生物
2025-12-29,002644,8.82,6.27%,佛慈制药
2025-12-29,603282,19.84,8.83%,亚光股份
2025-12-29,002237,13.54,7.89%,恒邦股份
2025-12-29,600480,12.13,8.01%,凌云股份
2025-12-29,603118,11.59,5.75%,共进股份
2025-12-29,600707,6.48,14.49%,彩虹股份
2025-12-29,603878,10.16,9.72%,武进不锈
2025-12-29,002802,12.52,6.46%,洪汇新材
2025-12-29,601528,5.76,8.27%,瑞丰银行
2025-12-29,000561,12.2,14.02%,烽火电子
2025-12-29,603328,11.18,5.17%,依顿电子
2025-12-29,002743,5.5,8.06%,富煌钢构
2025-12-29,603788,16.18,5.13%,宁波高发
2025-12-29,600768,13.64,10.89%,宁波富邦
2025-12-29,600602,18.79,10.27%,云赛智联
2025-12-29,601882,19.51,5.18%,海天精工
2025-12-29,002250,13.08,13.25%,联化科技
2025-12-29,002381,6.65,5.56%,双箭股份
2025-12-29,603187,15.8,10.49%,海容冷链
2025-12-29,688529,18.21,6.68%,豪森智能
2025-12-29,000058,9.44,7.39%,深 赛 格
2025-12-29,605155,17.2,9.0%,西大门
2025-12-29,002617,8.2,8.04%,露笑科技
2025-12-29,002296,11.44,14.4%,辉煌科技
2025-12-29,002538,6.62,7.29%,司尔特
2025-12-29,600215,7.14,13.33%,派斯林
2025-12-29,600328,8.36,8.43%,中盐化工
2025-12-29,600830,9.77,8.56%,香溢融通
2025-12-29,000822,5.34,7.01%,山东海化
2025-12-29,000061,10.19,12.6%,农 产 品
2025-12-29,000519,17.94,8.01%,中兵红箭
2025-12-29,600026,11.89,6.26%,中远海能
2025-12-29,600356,8.93,7.98%,恒丰纸业
2025-12-29,002072,7.72,14.54%,凯瑞德
2025-12-29,000928,6.66,7.42%,中钢国际
2025-12-29,002576,17.2,8.45%,通达动力
2025-12-29,603166,15.79,10.34%,福达股份
2025-12-29,600698,9.08,5.34%,湖南天雁
2025-12-29,603172,18.11,7.93%,万丰股份
2025-12-29,000045,12.12,5.94%,深纺织Ａ
2025-12-29,000425,11.26,11.49%,徐工机械
2025-12-29,601226,8.16,7.51%,华电科工
2025-12-29,601003,5.05,5.21%,柳钢股份
2025-12-29,600927,16.08,13.16%,永安期货
2025-12-29,002427,6.85,14.17%,尤夫股份
2025-12-29,688590,18.27,6.1%,新致软件
2025-12-29,002376,7.57,6.32%,新北洋
2025-12-29,603700,13.23,6.61%,宁水集团
2025-12-29,600029,7.74,13.99%,南方航空
2025-12-29,600235,6.86,10.29%,民丰特纸
2025-12-29,603045,19.9,8.68%,福达合金
2025-12-29,000636,16.42,6.49%,风华高科
2025-12-29,600635,6.9,9.18%,大众公用
2025-12-29,002883,10.99,6.18%,中设股份
2025-12-29,600292,12.89,5.22%,远达环保
2025-12-29,600571,15.68,7.47%,信雅达
2025-12-29,600405,5.26,6.69%,动力源
2025-12-29,688203,12.83,8.18%,海正生材
2025-12-29,600435,14.95,12.41%,北方导航
2025-12-29,002293,9.96,5.96%,罗莱生活
2025-12-29,000837,12.69,9.4%,秦川机床
2025-12-29,601512,9.07,5.96%,中新集团
2025-12-29,003038,15.96,8.87%,鑫铂股份
2025-12-29,603201,16.97,6.33%,XD常润股
2025-12-29,601038,14.23,12.67%,一拖股份
2025-12-29,601229,10.13,5.96%,上海银行
2025-12-29,603218,13.35,7.66%,日月股份
2025-12-29,002026,15.16,13.81%,山东威达
2025-12-29,600819,8.34,6.92%,耀皮玻璃
2025-12-29,600143,19.03,11.29%,金发科技
2025-12-29,603730,8.23,6.74%,岱美股份
2025-12-29,002401,15.98,6.25%,中远海科
2025-12-29,603527,11.26,8.69%,众源新材
2025-12-29,603112,18.01,5.63%,华翔股份
2025-12-29,688619,13.99,6.31%,罗普特
2025-12-29,603038,16.59,6.48%,华立股份
2025-12-29,603960,19.96,8.07%,克来机电
2025-12-29,605006,7.48,9.52%,山东玻纤
2025-12-29,601777,10.9,8.78%,千里科技
2025-12-29,603027,9.78,7.95%,千禾味业
2025-12-29,603390,13.1,11.02%,通达电气
2025-12-29,002441,9.39,8.55%,众业达
2025-12-29,601177,16.99,7.6%,杭齿前进
2025-12-29,002423,11.95,6.7%,中粮资本
2025-12-29,002094,7.33,5.62%,青岛金王
2025-12-29,688306,11.51,13.74%,均普智能
2025-12-29,002079,9.67,6.62%,苏州固锝
2025-12-29,002963,15.23,10.6%,豪尔赛
2025-12-29,002023,13.57,14.23%,海特高新
2025-12-29,688277,14.91,5.45%,天智航
2025-12-29,000554,6.51,5.17%,泰山石油
2025-12-29,000599,6.58,14.63%,青岛双星
2025-12-29,000815,11.37,6.16%,美利云
2025-12-29,002627,7.44,12.39%,三峡旅游
2025-12-29,600192,9.56,9.38%,长城电工
2025-12-29,002101,12.34,5.11%,广东鸿图
2025-12-29,002455,7.16,9.98%,百川股份
2025-12-29,688512,11.13,9.33%,慧智微
2025-12-29,603116,6.3,14.96%,红蜻蜓
2025-12-29,600590,9.4,7.67%,泰豪科技
2025-12-29,600120,6.24,6.12%,浙江东方
2025-12-29,600528,8.22,5.66%,中铁工业
2025-12-29,603918,15.85,7.75%,金桥信息
2025-12-29,002655,13.05,12.11%,共达电声
2025-12-29,603922,19.35,5.91%,金鸿顺
2025-12-29,002041,9.59,5.97%,登海种业
2025-12-29,002511,8.45,8.19%,中顺洁柔
2025-12-29,601026,20.57,8.55%,道生天合
2025-12-29,002562,6.58,7.34%,兄弟科技
2025-12-29,000856,10.32,9.55%,冀东装备
2025-12-29,002137,8.68,5.72%,实益达
2025-12-29,002600,15.56,8.81%,领益智造
2025-12-29,603917,14.83,8.96%,合力科技
2025-12-29,002015,10.43,7.86%,协鑫能科
2025-12-29,605166,10.44,5.45%,聚合顺
2025-12-29,600348,8.43,12.25%,华阳股份
2025-12-29,688026,16.19,5.61%,洁特生物
2025-12-29,603949,18.9,7.94%,雪龙集团
2025-12-29,600676,5.92,8.23%,交运股份
2025-12-29,002494,5.42,10.61%,华斯股份
2025-12-29,601111,9.1,12.76%,中国国航
2025-12-29,600523,15.58,9.56%,贵航股份
2025-12-29,002395,16.72,6.09%,双象股份
2025-12-29,003040,20.15,14.1%,楚天龙
2025-12-29,603219,16.18,5.2%,富佳股份
2025-12-29,603289,10.02,7.4%,泰瑞机器
2025-12-29,600989,19.01,9.13%,宝丰能源
2025-12-29,002602,17.56,9.61%,ST华通
2025-12-29,002623,18.7,8.22%,亚玛顿
2025-12-29,000576,10.54,9.45%,甘化科工
2025-12-29,603085,11.4,10.47%,天成自控
2025-12-29,000978,7.07,9.27%,桂林旅游
2025-12-29,600513,18.63,8.0%,联环药业
2025-12-29,688096,7.9,13.18%,京源环保
2025-12-29,002599,8.31,11.1%,盛通股份
2025-12-29,001236,10.83,7.65%,弘业期货
2025-12-29,002090,11.98,6.58%,金智科技
2025-12-29,002815,14.0,7.03%,崇达技术
2025-12-29,002148,8.66,6.52%,北纬科技
2025-12-29,601108,8.76,8.01%,财通证券
2025-12-29,688556,11.24,10.74%,高测股份
2025-12-29,002212,9.03,7.76%,天融信
2025-12-29,603708,12.41,10.31%,家家悦
2025-12-29,000948,18.0,8.63%,南天信息
2025-12-29,605500,9.62,14.12%,森林包装
2025-12-29,002953,11.63,5.25%,日丰股份
2025-12-29,605001,7.81,13.68%,威奥股份
2025-12-29,600372,13.22,8.45%,中航机载
2025-12-29,002078,15.76,7.65%,太阳纸业
2025-12-29,600126,8.16,6.67%,杭钢股份
2025-12-29,603989,16.68,6.92%,艾华集团
2025-12-29,603712,20.03,7.98%,七一二
2025-12-29,605183,19.96,8.71%,确成股份
2025-12-29,600967,16.43,7.04%,内蒙一机
2025-12-29,600230,13.73,12.73%,沧州大化
2025-12-29,002117,14.12,14.15%,东港股份
2025-12-29,600319,9.48,8.97%,亚星化学
2025-12-29,603339,13.07,7.04%,四方科技
