date,code,price,rebound,amplitude,vol_ratio,ma60_pos,name
2026-01-23,002818,12.04,9.06%,6.97%,4.42,线上,富森美
2026-01-06,603888,20.64,10.97%,5.32%,4.11,线上,新华网
2026-01-23,600916,9.22,14.53%,9.31%,4.09,线上,中国黄金
2026-01-23,600998,5.58,10.5%,6.97%,3.78,线上,九州通
2026-01-23,603883,16.44,11.76%,4.32%,3.46,线上,老百姓
2026-01-06,002942,21.16,11.25%,10.38%,3.35,线上,新农股份
2026-01-23,600388,17.47,13.07%,7.91%,3.3,线上,龙净环保
2026-01-23,603053,10.35,8.38%,5.87%,3.14,线上,成都燃气
2026-01-12,688479,20.13,13.28%,3.84%,3.07,线上,友车科技
2026-01-23,002860,14.92,12.26%,9.69%,3.06,线上,星帅尔
2026-01-12,002236,20.61,13.87%,4.07%,3.05,线上,大华股份
2026-01-23,002075,6.25,13.22%,7.54%,2.87,线上,沙钢股份
2026-01-06,603000,19.9,8.62%,3.74%,2.8,线上,人民网
2026-01-23,002615,8.69,14.49%,5.19%,2.79,线上,哈尔斯
2026-01-23,000726,7.86,11.49%,5.15%,2.65,线上,鲁  泰Ａ
2026-01-23,600746,7.7,13.57%,3.87%,2.56,线上,江苏索普
2026-01-23,002538,7.22,14.97%,5.52%,2.5,线上,司尔特
2026-01-23,600821,5.56,9.23%,5.69%,2.49,线上,金开新能
2026-01-23,002221,8.62,8.43%,4.98%,2.46,线上,东华能源
2026-01-23,600185,7.04,13.0%,9.61%,2.43,线上,珠免集团
2026-01-23,600732,14.74,13.73%,9.85%,2.41,线上,爱旭股份
2026-01-23,601012,19.35,13.16%,9.89%,2.4,线上,隆基绿能
2026-01-23,002125,15.33,10.45%,10.32%,2.39,线上,湘潭电化
2026-01-23,600860,13.66,13.83%,6.42%,2.32,线上,京城股份
2026-01-23,600173,7.92,12.5%,3.48%,2.31,线上,卧龙新能
2026-01-23,002941,17.69,12.39%,6.96%,2.31,线上,新疆交建
2026-01-23,002245,19.66,13.64%,9.17%,2.28,线上,蔚蓝锂芯
2026-01-23,000045,13.5,13.16%,3.39%,2.24,线上,深纺织Ａ
2026-01-23,603639,14.03,11.97%,3.22%,2.19,线上,海利尔
2026-01-23,603628,14.73,11.09%,5.81%,2.18,线上,清源股份
2026-01-23,600829,12.04,12.52%,7.75%,2.12,线上,人民同泰
2026-01-14,002150,21.41,14.13%,9.82%,2.03,线上,通润装备
2026-01-23,000017,8.11,7.85%,5.46%,1.99,线上,深中华A
2026-01-23,002962,15.76,11.46%,3.34%,1.98,线上,五方光电
2026-01-23,600158,9.86,14.52%,3.26%,1.96,线上,中体产业
2026-01-23,600603,6.75,9.76%,5.14%,1.88,线缘,广汇物流
2026-01-23,600172,6.49,14.46%,9.76%,1.86,线上,黄河旋风
2026-01-23,600048,6.71,10.36%,3.5%,1.78,线上,保利发展
2026-01-23,002145,5.33,10.81%,3.86%,1.76,线上,钛能化学
2026-01-23,603900,9.54,13.3%,3.67%,1.74,线上,莱绅通灵
2026-01-23,600234,13.56,10.69%,5.44%,1.71,线上,科新发展
2026-01-23,000950,6.43,10.67%,8.47%,1.7,线上,重药控股
2026-01-23,600191,13.77,14.75%,9.51%,1.7,线上,华资实业
2026-01-23,002846,18.18,14.92%,4.06%,1.66,线上,英联股份
2026-01-23,002209,16.96,10.63%,8.31%,1.66,线上,达 意 隆
2026-01-23,600186,6.35,9.29%,6.24%,1.64,线上,莲花控股
2026-01-12,603681,20.03,12.21%,7.5%,1.64,线上,永冠新材
2026-01-23,600336,8.83,13.79%,5.9%,1.63,线上,澳柯玛
2026-01-19,603790,21.2,11.58%,4.87%,1.58,线上,雅运股份
2026-01-23,688609,10.16,6.39%,5.94%,1.54,线上,九联科技
2026-01-23,000967,7.75,14.48%,3.18%,1.48,线上,盈峰环境
2026-01-23,600933,20.49,8.47%,3.25%,1.46,线上,爱柯迪
2026-01-23,000715,6.65,10.47%,6.84%,1.44,线上,中兴商业
2026-01-23,002590,16.2,10.73%,5.46%,1.42,线上,万安科技
2026-01-19,002601,20.36,12.61%,5.82%,1.41,线上,龙佰集团
2026-01-23,600713,5.67,7.59%,3.07%,1.37,线上,南京医药
2026-01-23,601218,5.59,11.8%,3.11%,1.37,线上,吉鑫科技
2026-01-23,603105,10.4,14.54%,4.28%,1.35,线上,芯能科技
2026-01-23,600328,9.12,14.29%,3.44%,1.34,线上,中盐化工
2026-01-23,600611,6.08,11.97%,4.1%,1.32,线上,大众交通
2026-01-19,002056,21.16,10.79%,3.34%,1.32,线上,横店东磁
2026-01-23,002799,9.45,13.45%,3.73%,1.3,线上,环球印务
2026-01-23,600095,11.7,6.36%,3.76%,1.28,线上,湘财股份
2026-01-23,600728,7.22,14.6%,5.97%,1.28,线上,佳都科技
2026-01-23,603098,15.74,14.81%,4.61%,1.25,线上,森特股份
2026-01-23,600222,6.86,6.19%,3.44%,1.25,线缘,太龙药业
2026-01-23,603915,18.74,9.65%,3.41%,1.22,线上,国茂股份
2026-01-23,603223,10.5,14.13%,3.24%,1.21,线上,恒通股份
2026-01-23,605399,14.84,11.24%,4.03%,1.21,线上,晨光新材
2026-01-23,603685,19.78,10.5%,3.04%,1.14,线上,晨丰科技
2026-01-23,603279,17.34,10.45%,3.1%,1.11,线上,景津装备
