date,code,price,dif,name
2026-03-02,600110,8.47,0.28,诺德股份
2026-03-03,001299,15.47,0.375,美能能源
2026-03-02,601898,16.55,0.567,中煤能源
2026-03-02,000407,5.33,0.041,胜利股份
2026-03-02,002782,23.41,0.68,可立克
2026-03-02,001338,12.83,0.072,永顺泰
2026-03-03,603861,19.8,1.263,白云电器
2026-03-02,600338,19.66,0.425,西藏珠峰
2026-03-02,002237,20.49,0.756,恒邦股份
2026-03-02,002348,8.14,0.462,高乐股份
2026-03-03,002350,13.08,0.762,北京科锐
2026-03-02,600970,11.15,0.132,中材国际
2026-03-02,600522,30.2,2.353,中天科技
2026-03-02,002056,21.98,0.384,横店东磁
2026-03-02,600459,26.27,0.892,贵研铂业
2026-03-02,600359,7.91,0.1,新农开发
2026-03-02,002541,24.74,1.035,鸿路钢构
2026-03-02,002096,14.59,0.208,易普力
2026-03-02,002491,11.12,1.038,通鼎互联
2026-03-02,601677,17.17,0.331,明泰铝业
2026-03-02,600028,7.11,0.147,中国石化
2026-03-03,600722,11.35,0.866,金牛化工
2026-03-02,600371,9.56,0.063,万向德农
2026-03-02,600884,15.14,0.381,杉杉股份
2026-03-02,600578,5.6,0.039,京能电力
2026-03-03,000301,14.58,0.574,东方盛虹
2026-03-03,000593,16.62,0.386,德龙汇能
2026-03-02,600313,8.18,0.243,农发种业
2026-03-02,000655,11.37,0.271,金岭矿业
2026-03-02,000890,8.43,0.631,法尔胜
2026-03-02,600367,23.55,0.75,红星发展
2026-03-02,000862,6.79,0.134,银星能源
2026-03-03,603209,17.45,0.286,兴通股份
2026-03-02,000510,22.45,1.42,新金路
2026-03-02,600929,6.56,0.161,雪天盐业
2026-03-03,000825,5.29,0.036,太钢不锈
2026-03-03,603967,13.46,0.095,中创物流
2026-03-02,600490,10.74,0.406,鹏欣资源
2026-03-03,002278,15.22,0.45,神开股份
2026-03-02,000039,13.69,0.911,中集集团
2026-03-02,000993,14.0,0.25,闽东电力
2026-03-03,000755,5.43,0.043,山西高速
2026-03-03,002221,10.01,0.225,东华能源
2026-03-03,600279,5.74,0.028,重庆港
2026-03-02,002973,15.15,0.18,侨银股份
2026-03-02,000932,6.79,0.198,华菱钢铁
2026-03-02,600961,26.01,1.174,株冶集团
2026-03-02,603977,16.45,0.202,国泰集团
2026-03-03,603356,21.17,0.869,华菱精工
2026-03-03,002413,16.13,0.572,雷科防务
2026-03-03,003018,27.27,2.194,金富科技
2026-03-02,603227,9.0,0.087,雪峰科技
2026-03-03,000507,5.86,0.071,珠海港
2026-03-03,603738,23.0,1.507,泰晶科技
2026-03-02,002667,23.35,1.366,威领股份
2026-03-02,603871,15.8,0.4,嘉友国际
2026-03-02,002340,9.89,0.282,格林美
2026-03-02,000070,19.66,1.766,特发信息
2026-03-02,000007,13.5,0.529,全新好
2026-03-03,002040,13.17,0.378,南 京 港
2026-03-02,601600,14.27,0.185,中国铝业
2026-03-03,605368,9.41,0.121,蓝天燃气
2026-03-03,600236,9.86,0.352,桂冠电力
2026-03-02,600428,8.47,0.255,中远海特
2026-03-02,000159,7.78,0.207,国际实业
2026-03-02,605056,24.82,1.327,咸亨国际
2026-03-02,002783,10.32,0.104,凯龙股份
2026-03-02,600711,16.81,0.226,盛屯矿业
2026-03-03,000557,5.09,0.007,西部创业
2026-03-02,002203,14.47,0.144,海亮股份
2026-03-02,000819,17.48,0.079,岳阳兴长
2026-03-02,600707,7.0,0.039,彩虹股份
2026-03-02,000630,8.42,0.372,铜陵有色
2026-03-03,002246,21.99,0.41,北化股份
2026-03-03,601008,6.16,0.103,连云港
2026-03-02,600397,21.5,2.877,江钨装备
2026-03-02,603162,16.18,0.689,海通发展
2026-03-03,601022,11.24,0.204,宁波远洋
2026-03-03,603070,16.4,0.561,万控智造
2026-03-02,601068,6.4,0.115,中铝国际
2026-03-02,600773,15.32,0.228,西藏城投
2026-03-02,002842,45.72,5.733,翔鹭钨业
2026-03-02,600546,12.05,0.297,山煤国际
2026-03-03,605366,9.97,0.68,宏柏新材
2026-03-03,002639,22.75,0.17,雪人集团
2026-03-03,000830,19.92,0.369,鲁西化工
2026-03-02,603399,11.96,0.173,永杉锂业
2026-03-02,601969,12.89,0.162,海南矿业
2026-03-03,601872,19.65,1.792,招商轮船
2026-03-02,600497,11.22,0.481,驰宏锌锗
2026-03-03,000803,9.73,0.254,山高环能
2026-03-02,600163,6.45,0.137,中闽能源
2026-03-02,002378,43.94,5.278,章源钨业
2026-03-02,002871,22.29,0.665,伟隆股份
2026-03-02,000758,8.81,0.369,中色股份
2026-03-02,600714,19.76,1.003,金瑞矿业
2026-03-02,000612,15.14,0.554,焦作万方
2026-03-02,600188,18.85,1.039,兖矿能源
2026-03-02,000155,14.45,0.371,川能动力
2026-03-02,000060,8.37,0.351,中金岭南
