代码,名称,当前价,10日线支撑,偏离度%,成交额(亿),战法形态
002766,索菱股份,5.68,5.68,0.04,3.12,线上阴线买(精选)
002378,章源钨业,14.64,14.63,0.07,13.52,线上阴线买(精选)
000801,四川九洲,17.11,17.14,-0.18,4.47,线上阴线买(精选)
603703,盛洋科技,14.09,14.04,0.33,4.16,线上阴线买(精选)
603803,瑞斯康达,11.64,11.69,-0.43,3.05,线上阴线买(精选)
600237,铜峰电子,9.08,9.12,-0.49,4.15,线上阴线买(精选)
600468,百利电气,6.91,6.95,-0.59,3.6,线上阴线买(精选)
603528,多伦科技,10.35,10.42,-0.64,3.56,线上阴线买(精选)
002643,万润股份,15.26,15.15,0.75,5.68,线上阴线买(精选)
002083,孚日股份,11.32,11.18,1.22,17.07,线上阴线买(精选)
601198,东兴证券,14.22,14.04,1.32,6.77,线上阴线买(精选)
600271,航天信息,10.54,10.34,1.91,9.54,线上阴线买(精选)
