date,code,name,price
2025-12-30,600058,五矿发展,11.52
2025-12-30,603879,永悦科技,6.93
2025-12-30,002052,同洲电子,13.3
2025-12-30,000987,越秀资本,8.4
2025-12-30,603966,法兰泰克,12.05
2025-12-30,002674,兴业科技,14.96
2025-12-30,002072,凯瑞德,7.72
2025-12-30,000973,佛塑科技,15.25
2025-12-30,600828,茂业商业,6.3
2025-12-30,688560,明冠新材,15.31
2025-12-30,002361,神剑股份,14.49
2025-12-30,002691,冀凯股份,9.85
2025-12-30,000863,三湘印象,6.11
2025-12-30,603332,苏州龙杰,13.79
2025-12-30,600178,东安动力,13.16
2025-12-30,002177,御银股份,7.77
2025-12-30,603116,红蜻蜓,6.3
2025-12-30,605122,四方新材,14.78
2025-12-30,601700,风范股份,6.16
2025-12-30,000048,京基智农,16.27
2025-12-30,603458,勘设股份,9.49
2025-12-30,002009,天奇股份,21.3
2025-12-30,600955,维远股份,16.82
2025-12-30,600481,双良节能,6.41
2025-12-30,002969,嘉美包装,10.77
2025-12-30,600637,东方明珠,9.98
2025-12-30,603936,博敏电子,12.95
2025-12-30,603577,汇金通,10.73
