类型,代码,名称,现价,量比,RSI6/14,KDJ/MACD,距60日线,今日涨跌
0-点火启动(即买即涨),600032,浙江新能,6.65,1.25,21.5/22.7,金叉/金叉,41.1%,2.5%
0-点火启动(即买即涨),000936,华西股份,5.12,1.23,24.4/21.0,金叉/红柱,30.1%,0.6%
0-点火启动(即买即涨),603169,兰石重装,6.32,1.59,23.4/22.2,金叉/绿柱缩短,28.1%,3.6%
0-点火启动(即买即涨),600011,华能国际,6.84,1.14,13.3/26.6,底位/绿柱缩短,10.7%,2.1%
1-多指标共振金叉,600299,安迪苏,7.9,0.78,23.2/24.2,金叉/金叉,40.7%,0.8%
1-多指标共振金叉,000065,北方国际,8.92,1.14,4.2/9.9,金叉/绿柱缩短,34.8%,0.4%
1-多指标共振金叉,002300,太阳电缆,6.38,1.34,25.0/18.9,金叉/金叉,34.8%,2.1%
1-多指标共振金叉,603693,江苏新能,11.73,1.16,20.6/22.6,金叉/绿柱缩短,27.3%,3.0%
1-多指标共振金叉,600268,国电南自,10.76,0.98,22.8/14.4,金叉/绿柱缩短,27.0%,0.8%
1-多指标共振金叉,002469,三维化学,5.61,1.11,18.4/22.3,金叉/绿柱缩短,21.2%,1.1%
1-多指标共振金叉,000635,英 力 特,6.03,1.06,25.0/25.5,金叉/红柱,20.3%,1.5%
1-多指标共振金叉,603172,万丰股份,16.57,1.04,19.0/34.6,金叉/金叉,19.9%,2.3%
1-多指标共振金叉,000045,深纺织Ａ,9.62,0.93,17.1/32.0,金叉/绿柱缩短,17.5%,0.4%
2-极致缩量潜伏,605336,帅丰电器,10.3,0.64,0.4/24.6,底位/绿柱缩短,51.7%,-1.1%
2-极致缩量潜伏,000683,博源化工,5.5,0.78,11.3/20.9,底位/绿柱缩短,34.2%,0.7%
2-极致缩量潜伏,600490,鹏欣资源,5.91,0.73,7.9/23.9,底位/绿柱缩短,27.4%,0.8%
2-极致缩量潜伏,601969,海南矿业,7.94,0.82,3.6/30.1,底位/红柱,26.0%,0.4%
2-极致缩量潜伏,600819,耀皮玻璃,5.38,0.8,16.1/34.5,底位/绿柱缩短,23.1%,0.9%
2-极致缩量潜伏,600475,华光环能,13.34,0.83,4.9/31.9,底位/绿柱缩短,19.7%,0.4%
2-极致缩量潜伏,000830,鲁西化工,11.74,0.75,19.4/33.5,底位/绿柱缩短,19.3%,0.5%
2-极致缩量潜伏,603132,金徽股份,14.9,0.73,23.4/25.8,底位/绿柱缩短,19.1%,-0.9%
2-极致缩量潜伏,600847,万里股份,12.41,0.8,4.2/17.4,底位/绿柱缩短,18.3%,0.6%
2-极致缩量潜伏,002438,江苏神通,13.43,0.84,18.7/32.8,金叉/绿柱缩短,16.9%,1.1%
2-极致缩量潜伏,600894,广日股份,7.54,0.65,24.7/28.4,底位/绿柱缩短,15.9%,1.1%
3-准入选观察池,605056,咸亨国际,14.77,1.05,23.5/22.3,底位/红柱,46.1%,-1.0%
3-准入选观察池,000155,川能动力,10.9,0.92,0.0/16.7,底位/绿柱缩短,33.6%,-0.7%
3-准入选观察池,002034,旺能环境,14.15,0.96,22.9/18.3,底位/绿柱缩短,29.7%,-0.4%
3-准入选观察池,600409,三友化工,5.51,0.85,0.0/31.8,底位/绿柱缩短,22.3%,-1.8%
3-准入选观察池,603429,集友股份,7.7,1.07,1.7/17.3,底位/绿柱缩短,22.0%,-0.5%
3-准入选观察池,603806,福斯特,14.24,0.91,23.1/23.6,底位/绿柱缩短,20.5%,-3.1%
3-准入选观察池,003022,联泓新科,20.79,0.78,21.1/15.3,底位/绿柱缩短,18.8%,-4.0%
3-准入选观察池,600810,神马股份,5.82,1.06,14.3/15.9,底位/绿柱缩短,18.6%,0.7%
3-准入选观察池,601311,骆驼股份,7.6,1.08,20.8/33.2,底位/红柱,17.5%,0.1%
3-准入选观察池,603997,继峰股份,11.36,0.7,4.4/22.7,底位/绿柱缩短,14.6%,0.3%
3-准入选观察池,600618,氯碱化工,10.03,0.7,20.5/34.8,底位/绿柱缩短,13.1%,-0.2%
3-准入选观察池,000958,电投产融,5.34,0.88,13.5/23.0,底位/绿柱缩短,11.7%,0.4%
