序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,yf_code
26,688387,信科移动-U,16.52,11.32,1.68,1364364.0,2196252018.0,13.61,16.98,14.96,15.14,14.84,2.0,6.77,-209.23,9.44,56477750000.0,33317159344.0,0.06,-0.12,4.29,28.06,688387.SS
37,002647,仁东控股,10.41,10.04,0.95,582784.0,599680754.6,6.55,10.41,9.79,10.18,9.46,3.94,5.74,32.72,20.95,11766336149.0,10569186149.0,0.0,0.0,26.64,29.8,002647.SZ
38,002328,新朋股份,11.84,10.04,1.08,1657394.0,1879927133.71,9.67,11.84,10.8,11.12,10.76,1.44,29.04,48.37,2.75,9137756800.0,6758176049.0,0.0,0.0,69.14,79.12,002328.SZ
39,601778,晶科科技,6.03,10.04,0.55,5584423.0,3291803939.0,8.76,6.03,5.55,5.56,5.48,2.96,15.63,45.42,1.36,21542716132.0,21542716132.0,0.0,0.0,48.89,62.1,601778.SS
42,605167,利柏特,19.64,10.03,1.79,86840.0,165020172.0,8.91,19.64,18.05,18.2,17.85,1.58,1.93,37.17,4.46,8820310331.0,8820310331.0,0.0,0.0,24.7,19.54,605167.SS
43,603269,海鸥股份,16.01,10.03,1.46,288624.0,444557597.0,10.24,16.01,14.52,14.65,14.55,1.86,9.35,72.37,5.19,4943115806.0,4943115806.0,0.0,0.0,17.72,22.31,603269.SS
44,001299,美能能源,18.54,10.03,1.69,211310.0,383204106.78,9.14,18.54,17.0,17.0,16.85,2.1,9.68,43.89,3.71,4498519755.0,4049134498.0,0.0,0.0,44.17,26.04,001299.SZ
46,600469,风神股份,7.25,10.02,0.66,310962.0,219485331.0,10.17,7.25,6.58,6.58,6.59,3.15,4.26,21.64,1.5,6452752387.0,5288518815.0,0.0,0.0,10.52,4.47,600469.SS
47,002297,博云新材,13.29,10.02,1.21,101676.0,135127935.6,0.0,13.29,13.29,13.29,12.08,0.64,1.77,123.14,3.58,7616563045.0,7616563045.0,0.0,0.0,6.15,11.03,002297.SZ
49,600855,航天长峰,19.23,10.01,1.75,377898.0,703066896.0,10.64,19.23,17.37,17.58,17.48,3.98,8.08,-52.52,6.27,9010076659.0,8992711969.0,0.0,0.0,-31.37,-8.6,600855.SS
